cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
52915087,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,Random selection,6,0.7999935,0.072771154,0.7272224,-0.17929368,-0.21077277,-0.28763697,-0.1289679,0.072771154,0.7999935,-0.32858115
59238596,B1(OC(C(O1)(C)C)(C)C)C2=CC(CCC2)C,Random selection,6,0.58980596,-0.010432109,0.6002381,-0.010432109,-0.16241476,-0.1139095,-0.26685566,-0.09981057,0.58980596,-0.15723974
53428875,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C(=O)OCC,Random selection,6,0.46891508,0.05016378,0.4187513,0.022590782,0.05016378,-0.044876475,-0.1413665,-0.27865386,0.46891508,-0.067292504
5237642,B(C1=CC=CC=C1OCCCCC)(C2=CC=CC=C2OCCCCC)C3=CC=CC=C3OCCCCC,Random selection,7,0.20680276,0.2037221,0.0030806512,-0.1710415,-0.13209003,0.027083047,-0.23726527,0.2037221,-0.37205964,0.20680276
53398509,B1(OC(C(O1)(C)C)(C)C)C2=C(C=C(C=N2)F)[N+](=O)[O-],Random selection,6,0.5369358,0.085973114,0.4509627,-0.08948092,0.085973114,-0.072368644,-0.1113709,-0.22512287,0.5369358,-0.11591413
45786295,B1(OC(C(O1)(C)C)(C)C)C2=NC=CC(=C2)C3CCCCC3,Random selection,6,0.6168265,-0.07998598,0.69681245,-0.18475491,-0.08178183,-0.14510031,-0.21096286,-0.07998598,0.6168265,-0.1690654
59133115,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N2)C(=CC=C3)C4CC4,Random selection,6,0.42407516,-0.006173382,0.43024853,-0.18080008,-0.16087128,-0.025483815,-0.34296116,-0.07374044,0.42407516,-0.006173382
66521303,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(S2)N3C=CC=CC3=O,Random selection,2,0.17158282,0.13259377,0.038989052,-0.16100468,0.17158282,0.12667185,-0.48805565,-0.13173921,-0.015030138,0.13259377
49761019,B1(OC(C(O1)(C)C)(C)C)C2=CCCN(C2)CC,Random selection,6,0.62887985,-0.060497537,0.68937737,-0.060497537,-0.17536652,-0.13993672,-0.22956808,-0.068602294,0.62887985,-0.1848529
66583732,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)(C)C(=O)OCC,Random selection,6,0.541564,0.12393792,0.41762608,0.12393792,-0.15277708,-0.10088925,-0.22727026,-0.14525306,0.541564,-0.16693959
45786391,B1(OC(C(O1)(C)C)(C)C)C2=NC=C(C=C2)C3=CC=C(C=C3)C,Random selection,6,0.47139648,0.10368482,0.36771166,-0.17751631,0.10368482,-0.06527903,-0.13837881,-0.20054643,0.47139648,-0.07559456
66521490,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)C3=CC=CC=C3C,Random selection,2,0.63414204,0.19022459,0.44391745,-0.109360375,0.63414204,-0.001137077,-0.13289422,-0.3064522,0.19022459,-0.04909051
58452541,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C(F)F,Random selection,6,0.63167804,-0.08829258,0.71997064,-0.12569915,-0.08829258,-0.12792149,-0.14154083,-0.121349484,0.63167804,-0.16738266
71348563,B(CC)(CC)C1CCCCCCCCCCC1,Random selection,6,0.56189394,0.3983545,0.16353944,0.0042116796,-0.56139594,-0.3938902,-0.2655313,0.3983545,0.56189394,-0.43481278
53217096,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)Cl)F,Random selection,6,0.5650457,-0.012366733,0.5774124,-0.06454427,-0.012366733,-0.06632721,-0.08297429,-0.20368479,0.5650457,-0.11910739
