cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
11804697,CN-116315108-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
2783270,CN-112820940-A,patent,C5H5BFNO2,B(C1=C(N=CC=C1)F)(O)O,00000371826231000000000000000000000000000000000000002C0000000000000000018000281D00000800000800C1120C3C8092081000A0003067440082802031022008D8203864980820E2C09191842008608000C8C8061000000000000000000000000000000000000000000000000000,53.4,141.0397367,10,LMB,1
2783270,CN-112820940-B,patent,C5H5BFNO2,B(C1=C(N=CC=C1)F)(O)O,00000371826231000000000000000000000000000000000000002C0000000000000000018000281D00000800000800C1120C3C8092081000A0003067440082802031022008D8203864980820E2C09191842008608000C8C8061000000000000000000000000000000000000000000000000000,53.4,141.0397367,10,LMB,1
2783273,KR-100788162-B1,patent,C6H3BF4O2,B(C1=CC(=C(C(=C1F)F)F)F)(O)O,00000371026031C00000000000000000000000000000000000003000000000000000000100002819000008000008008010083000800000008000204200000200002000000088000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,40.5,194.0162221,13,LIB,0
2783274,KR-100788162-B1,patent,C6H3BF4O2,B(C1=C(C(=C(C=C1F)F)F)F)(O)O,00000371026031C00000000000000000000000000000000000003000000000000000000100002819000008000008008010083000800000008000204200000200002000000088000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,40.5,194.0162221,13,LIB,0
87250990,EP-3355398-A1,patent,C12H27BO3Si3,B(O[Si](C)(C)C=C)(O[Si](C)(C)C=C)O[Si](C)(C)C=C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000818100000400000008020004200000000018000000200000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,314.1361045,19,Other,1
87250990,KR-20150014162-A,patent,C12H27BO3Si3,B(O[Si](C)(C)C=C)(O[Si](C)(C)C=C)O[Si](C)(C)C=C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000818100000400000008020004200000000018000000200000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,314.1361045,19,LIB,0
87250990,WO-2024242844-A2,patent,C12H27BO3Si3,B(O[Si](C)(C)C=C)(O[Si](C)(C)C=C)O[Si](C)(C)C=C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000818100000400000008020004200000000018000000200000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,314.1361045,19,LIB,0
2783280,US-8722280-B2,patent,C6H4BF3O2,B(C1=C(C(=C(C=C1)F)F)F)(O)O,00000371826031800000000000000000000000000000000000003000000000000000000100002819000008000008008010083000800000008000204200000200002000000888000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,40.5,176.025644,12,Other,0
2783280,KR-101558536-B1,patent,C6H4BF3O2,B(C1=C(C(=C(C=C1)F)F)F)(O)O,00000371826031800000000000000000000000000000000000003000000000000000000100002819000008000008008010083000800000008000204200000200002000000888000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,40.5,176.025644,12,Other,0
2783280,KR-20100069488-A,patent,C6H4BF3O2,B(C1=C(C(=C(C=C1)F)F)F)(O)O,00000371826031800000000000000000000000000000000000003000000000000000000100002819000008000008008010083000800000008000204200000200002000000888000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,40.5,176.025644,12,Other,0
51030066,ZA-200206405-B,patent,BTi,[B].[Ti],00000371020000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,58.9572458,2,Other,-1
162132057,US-8399136-B2,patent,C28H30BBrO8S2,B(C1=CC=C(C=C1)OC)(O)O.COC1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)C.CS(=O)(=O)C1=CC=C(C=C1)Br,00000371E2783C006010000000000000000000000000000000003060C1800000000000015400281A0440080001AC0480D802B2078000040A8002204200704208002028140888180608A80C2622A4311A80302024C01108AA1780C0F00EB0010000000000006002000000000000000000000000,144.0,648.06585,40,LIB,0
6336604,CN-110891958-A,patent,BF,[B]F,00000371020001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,30.0077083,2,LIB,0
