cid,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
11041016,C9H11BO2,B(/C=C/CC1=CC=CC=C1)(O)O,00000371C2703000000000000000000000000000000000000000300000000000000000010000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080800E00000000000000000000000000000000000000000000,40.5,162.0852098,12.0,['LIB'],0
6153620,C9H8BF3O2,B(/C=C/C1=CC=C(C=C1)C(F)(F)F)(O)O,00000371C2703180000000000000000000000000000000000000300000000000000000010000281900000800000C008018103000800000008002204200000200002000000888000000880820228011108020002080000888070080000E40000000000000008000000000000000000000000000,40.5,216.0569441,15.0,['LIB'],0
157732883,C9H15BO4,B(C1=CC=C(C=C1)OC)(O)O.CCO,00000371C2703800000000000000000000000000000000000000300000000000000000010000281A00000800000804A090023206800006008000204200000208002020000888000608880C362284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,69.9,198.1063391,14.0,['Other'],0
4431894,C6H7BO2S,B(C1=CC=C(C=C1)S)(O)O,00000371826030004000000000000000000000000000000000003000000000000000000100002818040008000008008050003001800000048000204200000200002000000888180000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,41.5,154.0259808,10.0,['LIB'],1
2734620,C12H18BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,00000371E2723000000000000000000000000000000120000000300000000000000000010000281E00100000000C4C81900032C08040000080002442400082000020020008880000648809202280919180200060900008C8071000000880000000000000000000000000000000000000000000,44.5,219.143059,16.0,"['Other', 'LIB']",1
16218219,C14H17BF2O2,B1(OC(C(O1)(C)C)(C)C)/C=C/C2=CC(=CC(=C2)F)F,00000371E2703180000000000000000000000000000120000000300000000000000000010000281B00000000000C448098083200800000008002204200000200002000000888000000880920228011108020002080000888070080000E80000000000000000000000000000000000000000000,18.5,266.1289663,19.0,['LIB'],0
162132057,C28H30BBrO8S2,B(C1=CC=C(C=C1)OC)(O)O.COC1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)C.CS(=O)(=O)C1=CC=C(C=C1)Br,00000371E2783C006010000000000000000000000000000000003060C1800000000000015400281A0440080001AC0480D802B2078000040A8002204200704208002028140888180608A80C2622A4311A80302024C01108AA1780C0F00EB0010000000000006002000000000000000000000000,144.0,648.06585,40.0,['LIB'],0
2734378,C5H6BNO2,B(C1=CN=CC=C1)(O)O,00000371826230000000000000000000000000000000000000002C0000000000000000018000281C00000800000800C112043C8092081000A0003067440082802031022008D8203864980820E2C09191842008608000C8C8061000000000000000000000000000000000000000000000000000,53.4,123.0491586,9.0,"['ZIB', 'LIB', 'LMB']",1
2734343,C8H11BO4,B(C1=C(C=CC=C1OC)OC)(O)O,00000371C2703800000000000000000000000000000000000000300000000000000000010000281A000008000008048090023206800004008000204200000208002020000888000608880C272284311A80302025C01508A80780600C0000000008000000000000001000000000000000000000,58.9,182.075039,13.0,['MIB'],0
2734652,C12H18BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2N,00000371E2723000000000000000000000000000000120000000300000000000000000010000281E00100000000C4C81900032C08040000080002442400082000020020008880000648809202280919180200060900008C8071000000880000000000000000000000000000000000000000000,44.5,219.143059,16.0,['LMB'],1
2776315,C10H9BO2S,B(C1=CC=C(S1)C2=CC=CC=C2)(O)O,00000371C270300040000000000000000000000000012000000030000000000000000001C000281804000800000C00805800300180000008840220420000030080200810488818000088082022A011108020002080002888070080800E00000000000000000000000000000000000000000000,68.7,204.0416309,14.0,['LIB'],1
17750476,C12H18BNO2,B1(OC(C(O1)(C)C)(C)C)C2=NC=CC(=C2)C,00000371E27230000000000000000000000000000001200000002C0000000000000000018000281E00000000000C44C19A043E8092081000A0023067440082802031022008D820386498092062C09191842008608000C8C8061000000A80000000000000000000000000000000000000000000,31.4,219.143059,16.0,['Other'],0
66839969,C12H12B2O4,B(C1=C(C(=CC=C1)C2=CC=CC=C2)B(O)O)(O)O,00000371C3703800000000000000000000000000000000000000306000000000000000014000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000000000000000000000000000000000000000000,80.9,242.0921692,18.0,['SIB'],0
2734656,C11H16BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC=C2,00000371E27230000000000000000000000000000001200000002C0000000000000000018000281E00000000000C44C192043E8092081000A0003067440082802031022008D8203864980920E2C09191842008608000C8C8061000000880000000000000000000000000000000000000000000,31.4,205.1274089,15.0,['LIB'],1
2734326,C7H6BNO2,B(C1=CC=C(C=C1)C#N)(O)O,0000037182623000000000000000000000000000000000000000300000000000000000010000281C00000800000C0081180030008000000090062042000022000020000008880000008808A02280111080200020800008880F0080000E00000000000000000000000000000000000000000000,64.3,147.0491586,11.0,"['Other', 'SIB', 'LIB']",1
4192665,C11H16BNO2,B(C1=CC=C(C=C1)N2CCCCC2)(O)O,00000371E27230000000000000000000000000000000000000003C4000000000000000010000281C00000800000808C1100430C083000000800024424000820000210200088800086488082022C09191842008608000C8C8071000000000000000000000000000000000000000000000000000,43.7,205.1274089,15.0,['LIB'],1
2773292,C6H4BBrF2O2,B(C1=C(C(=C(C=C1)Br)F)F)(O)O,000003718260318000100000000000000000000000000000000030000000000000000001000028190040080001A8008010083000800000008000204200000200002000040888000000A8082022801010802000208000088A170000000000000000000000000000000000000000000000000000,40.5,235.94558,12.0,['LIB'],0
7628,BH3O3,B(O)(O)O,00000371020030000000000000000000000000000000000000000000000000000000000000000800000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,60.7,62.0175241,4.0,"['MIB', 'LIB', 'SIB', 'Other', 'LMB', 'ZIB']",1
12067062,C11H15BBrNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)Br,00000371C27230000010000000000000000000000001200000002C0000000000000000018000281E0040000001AC44C192043E8092081000A0003067440082802031002400D8202844B80920E2C09191842008608000C8CA161000000880000000000000000000000000000000000000000000,31.4,283.03792,16.0,['LIB'],1
66687538,C7H7BO3,B(C1=CC=CC=C1)(O)OC=O,0000037182603000000000000000000000000000000000000000300000000000000000010000281A000008000008008010033008800000008800204288000200002000000888000000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,46.5,150.0488242,11.0,['LIB'],1
22237819,C6H4BF3O3,B(O)(O)OC1=C(C=C(C=C1F)F)F,0000037182603180000000000000000000000000000000000000300000000000000000010000081B0000080000080480900830068000000080002042000002000020200000880004088808262280111280300024C0110888078040000000000000000000000000000000000000000000000000,49.7,192.0205586,13.0,['Other'],0
44717470,C6H6BFO3,B(C1=CC(=C(C=C1)F)O)(O)O,0000037182603100000000000000000000000000000000000000300000000000000000010000281B0000080000080480900830068000020080002042000002000020200008880006088808262282111280700024C0110898078040000000000000000000000000000000000000000000000000,60.7,156.0394024,11.0,['LIB'],0
