UMAP1,UMAP2,ID
-7.7536483,4.836177,104000
-7.276067,2.5147178,36000
-6.6304865,0.25402084,97000
-6.5445523,0.5658705,78000
-6.8038793,0.0235067,18000
-6.4217334,0.7976789,91000
-7.6530757,5.030434,10000
-6.6815624,0.1316449,55000
-6.4264264,0.8430882,11000
-7.0625043,-0.97816086,45000
-7.621422,5.6727495,26000
-6.6779203,0.13855758,76000
-7.0603633,-0.97538286,56000
-7.598036,5.6534677,40000
-7.2724504,2.5098972,73001
-7.6748233,4.953821,19001
-7.752963,4.8375864,116001
-6.7955217,-0.43887472,67001
-7.0590754,-0.9730414,94001
-7.0620856,-0.97764623,77001
-5.526087,12.707465,31001
-5.43116,12.818681,53001
-7.5946918,5.6555467,117001
-6.4406295,0.8500743,44001
-7.2740955,2.5172215,4001
-7.7554827,4.833687,104001
-7.2722855,2.5127316,36001
-6.625632,0.22220719,97001
-6.455676,0.7431822,78001
-6.7688417,-0.018687349,18001
-6.414913,0.8052231,91001
-7.657178,4.9964333,10001
-6.682457,0.13028803,55001
-6.4268675,0.8408121,11001
-7.0612216,-0.97627884,45001
-7.6217294,5.6731925,26001
-6.693664,0.10120223,76001
-7.5908294,5.6575055,1
-7.0626826,-0.978196,56001
-7.597785,5.654469,40001
-7.2767625,2.5151968,73010
-7.681122,4.9400907,19010
-7.751036,4.838984,116010
-6.7954326,-0.43798256,67010
-7.0288024,-0.92588174,94010
-7.059831,-0.9745895,77010
-5.5281434,12.704257,31010
-5.432149,12.817657,53010
-7.5959496,5.654723,117010
-6.4762526,0.7334289,44010
-7.2802176,2.520801,4010
-7.7554455,4.833812,104010
-7.2714252,2.5108862,36010
-6.625593,0.22709046,97010
-6.462094,0.73301846,78010
-6.769553,-0.015735414,18010
-6.4252505,0.8021123,91010
-7.680983,4.931694,10010
-6.682987,0.12927851,55010
-6.399439,0.915666,11010
-7.048565,-0.9583623,45010
-7.6125584,5.6626773,26010
-6.7746277,-0.0219475,76010
-7.5978346,5.6473227,10
-7.0610523,-0.9761987,56010
-7.5980706,5.652286,40010
-7.273569,2.5109828,73011
-7.6824446,4.937589,19011
-7.752116,4.8334994,116011
-6.7955623,-0.43900236,67011
-7.05676,-0.9695301,94011
-7.060281,-0.97451085,77011
-5.5315022,12.700268,31011
-5.432035,12.817357,53011
-7.5947914,5.6558275,117011
-6.4899807,0.7143555,44011
-7.273278,2.532835,4011
-7.755524,4.833774,104011
-7.271437,2.5121248,36011
-6.631533,0.2102247,97011
-6.500021,0.6951093,78011
-6.7795143,-0.03201779,18011
-6.412618,0.807897,91011
-7.6554723,5.0074425,10011
-6.6439805,0.17128146,55011
-6.4417615,0.7884782,11011
-7.0592213,-0.9734322,45011
-7.6187925,5.6705008,26011
-6.686688,0.12383782,76011
-7.59187,5.663423,11
-7.061532,-0.9765075,56011
-7.5983753,5.6543665,40011
-7.2724667,2.50984,73100
-7.6810646,4.9395375,19100
-7.751786,4.8383336,116100
-6.7960854,-0.44539616,67100
-7.0590096,-0.972759,94100
-7.058709,-0.97356755,77100
-5.5286417,12.703878,31100
-5.4863734,12.75221,53100
-7.5952425,5.6558347,117100
-6.433988,0.85960954,44100
-7.2752867,2.5188751,4100
-7.7551427,4.834423,104100
-7.272224,2.5096765,36100
-6.6268344,0.22094516,97100
-6.4654098,0.72754306,78100
-6.766438,-0.0112062255,18100
-6.4226956,0.80382156,91100
-7.6568465,5.0024567,10100
-6.6765943,0.13817208,55100
-6.429882,0.84230125,11100
-7.0599065,-0.9741819,45100
-7.6176834,5.669738,26100
-6.6836724,0.12847456,76100
-7.592053,5.662893,100
-7.059378,-0.9747675,56100
-7.597844,5.6528335,40100
5.8871517,0.9095402,8000
10.68422,-5.4196143,85000
