molecule_id,prototypes,molecule_name,UMAP_x,UMAP_y
47001,3,[],7.789632,14.983099
22001,3,[],6.381426,16.783005
64001,3,[],6.6315866,16.7775
80001,3,[],6.3045635,17.538448
120001,3,[],7.745048,14.999959
43001,3,[],6.4867187,16.771923
72001,3,[],6.2962317,17.285904
48001,3,[],6.5152073,18.061293
29001,3,[],6.4357214,18.082172
1001,3,[],6.8624573,17.120884
114001,3,[],6.9715223,17.0098
20001,3,[],6.5415792,17.881578
24010,3,[],8.014282,14.972576
47010,3,[],7.957926,14.933755
22010,3,[],7.0093417,16.97338
64010,3,[],7.2249694,16.930496
80010,3,[],6.651093,17.702583
120010,3,[],7.9503465,14.9645
43010,3,[],7.982063,15.099321
72010,3,[],6.6327205,17.795927
48010,3,[],6.6327233,17.91454
29010,3,[],6.677103,18.014784
1010,3,[],6.912241,17.193985
114010,3,[],7.063121,16.97886
20010,3,[],6.590158,17.745686
24011,3,[],8.056834,15.174539
47011,3,[],8.0626745,15.026161
22011,3,[],7.074992,17.144354
64011,3,[],7.1600065,17.001274
80011,3,[],6.6725755,17.832996
120011,3,[],8.032098,14.986709
72011,3,[],6.7991858,17.696068
48011,3,[],6.538241,18.12214
29011,3,[],6.53034,18.057898
1011,3,[],7.093086,17.158987
114011,3,[],7.080194,17.113756
20011,3,[],6.6985335,17.87796
27100,3,[],7.8854837,15.459683
24100,3,[],8.073147,15.238635
47100,3,[],7.907563,15.105808
22100,3,[],7.909332,15.170246
64100,3,[],8.039829,17.184622
80100,3,[],8.311618,17.327963
120100,3,[],8.0813875,15.248707
43100,3,[],7.821401,17.021437
72100,3,[],8.26706,17.324062
48100,3,[],8.61122,17.79614
29100,3,[],8.62364,17.752043
1100,3,[],8.15987,17.16322
114100,3,[],8.04521,17.159666
20100,3,[],8.565891,17.699375
19,3,['C-LiMCFB'],7.7606163,16.964226
26,3,['HBC'],8.588639,17.871735
40,3,['LiT4PAB'],8.124403,17.060043
19000,3,[],7.5209126,16.682236
26000,3,[],8.57564,17.849035
40000,3,[],8.155625,16.814995
19001,3,[],7.674909,16.978432
26001,3,[],8.604572,17.884813
40001,3,[],8.141219,17.103064
19010,3,[],7.819827,16.83837
26010,3,[],8.538904,17.770664
40010,3,[],8.138858,16.851297
19011,3,[],8.030056,17.187881
26011,3,[],8.657094,17.872583
40011,3,[],8.187001,17.136366
19100,3,[],7.809886,17.036592
26100,3,[],8.672528,17.711966
40100,3,[],8.055474,16.854021
96,4,['K2B4O5(OH)4'],10.847555,4.2645016
33,4,['PRZ'],9.796367,5.6636233
35,4,['H3BO3'],10.946206,4.192758
41,4,['Li3BO3'],10.886641,4.1938853
58,4,['TEB'],10.899683,4.156205
57,4,['LiBO2'],10.901878,4.1573935
21,4,['Li2TB'],10.992453,4.2283244
74,4,['3F-PBF'],9.308799,5.72233
106,4,['DEBA'],11.232204,3.8776028
96000,4,[],10.77734,4.4020643
33000,4,[],9.718564,5.785043
35000,4,[],10.987271,4.268745
121000,4,[],9.520674,5.6480746
41000,4,[],10.896914,4.163571
58000,4,[],10.90448,4.166141
57000,4,[],11.031061,4.233233
21000,4,[],10.972827,4.207626
74000,4,[],9.616875,5.7455387
106000,4,[],11.248376,3.8359005
96001,4,[],10.818665,4.270665
33001,4,[],9.789207,5.7487297
35001,4,[],10.932245,4.320645
121001,4,[],9.391746,5.7022824
41001,4,[],10.7223,5.0689025
58001,4,[],10.687131,5.123779
57001,4,[],10.679435,5.1573915
21001,4,[],10.901021,4.57602
74001,4,[],9.270985,5.704884
106001,4,[],11.244153,3.8665857
96010,4,[],10.659433,5.0027027
33010,4,[],9.768908,5.835463
35010,4,[],10.665958,5.22381
41010,4,[],10.741539,4.797883
58010,4,[],10.64988,4.9991946
57010,4,[],10.694848,5.062654
21010,4,[],10.950636,4.4468284
106010,4,[],11.239549,3.8849297
96011,4,[],10.501551,5.2204804
33011,4,[],9.69512,5.8592024
35011,4,[],10.538538,5.262776
121011,4,[],9.375277,5.6850476
41011,4,[],10.56319,5.1714687
58011,4,[],10.584028,5.188135
57011,4,[],10.571258,5.1815357
21011,4,[],10.800287,4.9838963
74011,4,[],9.344808,5.6748414
106011,4,[],11.222149,3.8796594
96100,4,[],10.631097,5.030781
33100,4,[],9.541281,5.842713
35100,4,[],10.524256,5.708772
41100,4,[],10.558352,5.731124
58100,4,[],10.61148,5.6908083
57100,4,[],10.521577,5.7205505
21100,4,[],10.52659,5.7597013
106100,4,[],11.211111,3.9128346
44,4,['B2O3'],11.03341,5.559996
78,4,['LUTID'],9.295596,5.751979
91,4,['TRIZIN'],9.886691,5.8824806
11,4,['LBO'],10.716238,5.7650876
44000,4,[],11.003791,5.5004816
91000,4,[],9.849755,5.947175
11000,4,[],10.701802,5.783296
44001,4,[],11.027377,5.558095
78001,4,[],9.3162775,5.8200407
91001,4,[],9.928572,5.949964
11001,4,[],10.66756,5.8206925
91010,4,[],10.023677,6.015518
11010,4,[],10.607705,5.790454
78011,4,[],9.255926,5.704396
91011,4,[],9.992967,5.935643
11011,4,[],10.64558,5.6878114
44100,4,[],11.029862,5.567631
78100,4,[],9.30714,5.7503824
91100,4,[],10.229615,5.877569
11100,4,[],10.661005,5.8099275
124,5,['2F-PBF'],-5.2938037,-6.952488
15,5,['(C6H3F)O2B(C6H3F2)'],3.2125947,-3.6980646
9,5,['TPhBX'],1.8216592,-4.765833
113,5,['(C6F4)O2B(C6H3F2)'],2.0750155,-4.21481
28,5,['LBNB'],3.1789734,-4.242847
5,5,['(C6H3F)O2B(C8H3F6)'],1.9765272,-3.6132114
7,5,['TRIFM'],-5.035063,-6.734055
70,5,['LBDOB'],3.2076013,-4.310388
8,5,['LBBPB'],3.3206587,-4.1968856
50,5,['(C6H3F)O2B(C7H4F3)'],2.2748613,-3.862965
84,5,['LiBPh4'],1.4775243,-4.5484567
111,5,['PCN'],-5.363723,-6.823968
88,5,['(C6F4)O2B(C6H4F)'],1.7360382,-4.522772
103,5,['VPBF'],-5.398594,-6.910911
87,5,['NaTFPB'],-4.6844196,-6.5345893
86,5,['PBF'],-5.3534408,-6.785244
82,5,['(C6F4)O2B(C7H3F6)'],1.7920134,-4.1304297
