UMAP1,UMAP2,additives,SMILES
-4.4015255,5.9210954,TTFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F 
-4.3289876,2.5686696,TCLBSB,O=C(O[B-]12OC3=C(Cl)C=C(Cl)C(Cl)=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4Cl.[Li+]
-4.3052573,6.8034196,BDB,B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C
-6.711698,3.1583726,K2B4O5(OH)4,B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+]
1.916068,3.1035666,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1
8.288179,3.8668346,DPD-CHO,CC1(COB(OC1)C1=C(C=O)C=CC=C1)C
-4.7228985,4.9179897,TMF,FC(C(F)(F)OC(F)(F)F)(F)OB(OC(F)(F)C(F)(F)OC(F)(F)F)OC(F)(F)C(F)(F)OC(F)(F)F
2.3684323,2.3991218,PBA,C1(=CC=CC=C1)OB(O)O
-4.4046707,2.5604038,LiMOB,O=C(CC(O1)=O)O[B-]1(OC(C2)=O)OC2=O.[Li+]
-4.385685,2.5673082,LiBMAB,C=CCC(C1=O)C(O[B-]2(OC(C(C(O2)=O)CC=C)=O)O1)=O.[Li+]
-5.4037423,5.695154,VPBF,C=CC1=CC=NC=C1.FB(F)F
8.331536,3.7564702,DPD-COOCH2CH3,CC1(COB(OC1)C1=C(C(=O)OCC)C=CC=C1)C
-4.2424664,2.4940305,LOCB,O=C1C(O[Li+]O2)=C2C3=C1O[B-](OC4=O)(OC4=O)O3
-6.525438,5.7813563,DEBA,CC(=CB(O)O)C
-3.7805667,2.2836094,LiBSB,O=C1C2=CC=CC=C2O[B-]3(OC(C4=CC=CC=C4O3)=O)O1.[Li+]
-4.40065,5.9183035,TTFB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F
-4.376842,2.5341802,4FLBDOB,FC1=C(F)C(F)=C2C(O[B-](OC3=O)(OC3=O)O2)=C1F.[Li+]
-4.35713,2.536152,LiBF4,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2
-2.2870116,2.2379184,PCN,N#CC1=CC=CN=C1.FB(F)F
7.544505,-5.959751,LiDFOB,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F
-2.5790899,1.9170475,(C6F4)O2B(C6H3F2),Fc1cc(F)c(B2Oc3c(O2)cccc3)cc1.[F]
-4.106603,5.562638,TBB,B(OCCCC)(OCCCC)OCCCC
-4.2021813,2.4682193,LiBClSB,ClC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Cl)=C3O2)=O)C)=O)=CC=C1.[Li+]
8.418824,3.3069916,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC
-5.012643,6.231585,TEBx,CCOB1OB(OCC)OB(OCC)O1
8.211186,3.4640937,(C6F12)O2B(C6H5),FC(C1(C(F)(F)F)OB(OC1(C(F)(F)F)C(F)(F)F)c2ccccc2)(F)F
-4.520128,4.491818,ABA#1,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F 
-5.099802,5.086034,BF₃·DE,B(F)(F)F.CCOCC
-3.960163,1.5833338,LiB5AB,B([O-])([O-])[O-].NC1=CC=C(C(C(=O)O)=C1)O.NC1=CC=C(C(C(=O)O)=C1)O.[Li+].[Li+].[Li+]
-4.231736,2.4530032,LiBCl2SB,ClC1=C([O])C(C(O[B-]2(OC(C3=CC(Cl)=CC(Cl)=C3O2)=O)C)=O)=CC(Cl)=C1.[Li+]
-4.52161,4.4922943,THFPB,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
-2.1051705,2.0820258,2F-PBF,FC1=NC=CC=C1.FB(F)F
-4.5190496,4.490431,THB,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
