x,y,group
1.4824004,9.050493,Unlabeled
-3.1756856,5.06531,Unlabeled
-2.871611,5.1492753,Unlabeled
-1.4246792,9.151865,Unlabeled
1.5492526,8.820084,Unlabeled
0.6167467,10.182264,Unlabeled
2.8422177,11.683274,Unlabeled
-0.209777,10.89015,Unlabeled
1.5542676,9.286157,Unlabeled
0.6026856,11.148202,Unlabeled
1.9298152,9.793573,Unlabeled
-0.8987835,11.620675,Unlabeled
-3.573927,10.065609,Unlabeled
3.9186802,12.158587,Unlabeled
-7.0671115,8.495838,Unlabeled
6.117899,14.396407,Unlabeled
-2.286766,12.173078,Unlabeled
2.5300708,14.098686,Unlabeled
2.4030197,11.668586,Unlabeled
-0.24856241,10.930065,Unlabeled
-0.7890104,11.728686,Unlabeled
1.6056033,13.438789,Unlabeled
-3.526351,7.723455,Unlabeled
-7.508734,9.249905,Unlabeled
-0.8221121,12.970359,Unlabeled
-1.7951193,10.538611,Unlabeled
-2.2162619,4.5236163,Unlabeled
0.75242645,11.606814,Unlabeled
-2.273582,11.742059,Unlabeled
-2.6135087,11.629772,Unlabeled
-1.3899628,10.692206,Unlabeled
-1.0508051,14.836708,Unlabeled
0.082555845,10.336888,Unlabeled
0.8185242,16.60763,Unlabeled
-1.3786469,12.645557,Unlabeled
1.4320865,12.208141,Unlabeled
-0.027073856,9.91379,Unlabeled
-1.7202817,7.973293,Unlabeled
1.7054813,11.4831505,Unlabeled
3.9201686,12.1276045,Unlabeled
1.2076629,9.1869,Unlabeled
1.0431656,16.965807,Unlabeled
-0.5596747,12.339292,Unlabeled
1.434379,13.524881,Unlabeled
1.4366546,12.19341,Unlabeled
-2.8064373,7.041525,Unlabeled
-2.8008626,3.860339,Unlabeled
-0.88852245,8.095696,Unlabeled
-1.3422809,6.4954495,Unlabeled
-1.8303833,10.835605,Unlabeled
0.5939504,11.222437,Unlabeled
-1.4420258,13.1949005,Unlabeled
0.052729573,10.289894,Unlabeled
4.5189443,11.303237,Unlabeled
-3.558744,8.252868,Unlabeled
0.97564155,11.027766,Unlabeled
-6.8645077,9.96171,Unlabeled
3.4144247,9.960681,Unlabeled
-0.2611594,10.616911,Unlabeled
3.0015802,4.4080143,Unlabeled
1.0254912,16.996052,Unlabeled
-5.027318,13.959727,Unlabeled
-4.151786,10.18594,Unlabeled
1.1929067,17.318144,Unlabeled
2.084838,9.13386,Unlabeled
-1.8527288,10.39444,Unlabeled
4.372467,11.036518,Unlabeled
-1.8121879,12.548485,Unlabeled
3.3154383,8.958007,Unlabeled
-8.014062,9.816999,Unlabeled
-0.4386158,11.845938,Unlabeled
-1.3058935,8.441,Unlabeled
-1.7526243,12.086061,Unlabeled
3.8781574,12.075274,Unlabeled
1.2322514,13.103036,Unlabeled
-2.1920986,7.029975,Unlabeled
6.4426827,12.158986,Unlabeled
-2.7917328,5.629968,Unlabeled
-0.3272504,10.800027,Unlabeled
-0.81732094,9.583238,Unlabeled
0.36713916,9.056048,Unlabeled
1.4831076,8.069864,Unlabeled
2.356896,14.210321,Unlabeled
-3.3611488,7.066943,Unlabeled
-3.6345575,20.62381,Unlabeled
0.29783404,16.984917,Unlabeled
-4.5334105,5.688532,Unlabeled
-3.8679278,18.017359,Unlabeled
0.4615879,7.9644303,Unlabeled
3.6853745,10.597816,Unlabeled
-2.8554754,7.6427727,Unlabeled
-3.252671,13.798879,Unlabeled
-1.4087448,10.729652,Unlabeled
0.44329068,7.9456015,Unlabeled
-0.6761423,6.599459,Unlabeled
-1.5466332,5.280801,Unlabeled
-2.730772,9.038842,Unlabeled
-2.67451,4.938492,Unlabeled
-0.32571954,10.862066,Unlabeled
-1.8571169,10.849683,Unlabeled
-1.8014748,5.123486,Unlabeled
-0.7262109,12.662578,Unlabeled
2.7289152,9.46334,Unlabeled
0.568929,8.042863,Unlabeled
-0.8696002,14.416748,Unlabeled
-2.1578777,4.8712296,Unlabeled
1.2215313,10.746957,Unlabeled
-7.76021,9.683341,Unlabeled
-1.9919479,5.063236,Unlabeled
-1.369697,12.654084,Unlabeled
-4.6005573,10.853207,Unlabeled
-0.6238379,7.522181,Unlabeled
2.0500844,7.1394997,Unlabeled
3.4226928,11.020275,Unlabeled
-0.52197385,11.8340225,Unlabeled
-0.26450965,11.618047,Unlabeled
2.439889,11.3767395,Unlabeled
2.4828858,14.137239,Unlabeled
1.3112262,17.682106,Unlabeled
0.16270109,11.271792,Unlabeled
-1.2030088,8.08999,Unlabeled
4.5384693,9.791997,Unlabeled
3.9364219,10.552583,Unlabeled
-3.5478284,3.2351596,Unlabeled
-2.0203483,8.2136545,Unlabeled
1.7970827,9.808243,Unlabeled
-2.7765465,8.796063,Unlabeled
-1.1127918,8.185961,Unlabeled
1.2295699,12.727764,Unlabeled
-2.9029586,5.8522716,Unlabeled
-0.2991684,11.709586,Unlabeled
1.541779,10.037445,Unlabeled
0.8815114,16.589273,Unlabeled
-1.6251341,12.603892,Unlabeled
1.1181498,17.639227,Unlabeled
-1.0592904,8.428927,Unlabeled
1.4185923,11.154351,Unlabeled
1.6135468,8.855916,Unlabeled
2.4633043,9.707177,Unlabeled
-0.6279954,7.580106,Unlabeled
1.3721993,9.133896,Unlabeled
4.7588677,11.236914,Unlabeled
5.9842625,8.947152,Unlabeled
0.35963959,9.259597,Unlabeled
0.5696867,17.328304,Unlabeled
1.0365356,11.873497,Unlabeled
0.58952314,12.849534,Unlabeled
-0.9724074,13.620768,Unlabeled
-3.7703242,17.993023,Unlabeled
-1.7869545,5.069643,Unlabeled
-0.64647996,8.323151,Unlabeled
2.5078142,9.83867,Unlabeled
-5.9791484,17.597532,Unlabeled
-7.5000167,8.992637,Unlabeled
-1.6583005,10.201197,Unlabeled
2.544723,13.80362,Unlabeled
-4.451436,12.257848,Unlabeled
-1.6364851,3.4717233,Unlabeled
0.3440994,8.416335,Unlabeled
-2.4212136,12.440934,Unlabeled
1.643343,10.455754,Unlabeled
-3.8352633,10.632259,Unlabeled
-7.992068,8.9342,Unlabeled
-3.2425444,8.10623,Unlabeled
2.3874831,10.179644,Unlabeled
