similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
20,11115716,6,NP6,19.234285714285715,0.10777142857142856,0.8066542744636536,6,NP6,0.8066542744636536
20,11115716,7,NP7,19.35142857142857,0.10777142857142856,-0.3129911720752716,6,NP6,0.8066542744636536
21,18329245,1,NP1,19.64857142857143,0.10777142857142856,-0.21484164893627167,6,NP6,0.806633472442627
21,18329245,2,NP2,19.765714285714285,0.10777142857142856,-0.20544038712978363,6,NP6,0.806633472442627
21,18329245,3,NP3,19.882857142857144,0.10777142857142856,-0.28242072463035583,6,NP6,0.806633472442627
21,18329245,4,NP4,20.0,0.10777142857142856,-0.1734486222267151,6,NP6,0.806633472442627
21,18329245,5,NP5,20.117142857142856,0.10777142857142856,0.09128611534833908,6,NP6,0.806633472442627
21,18329245,6,NP6,20.234285714285715,0.10777142857142856,0.806633472442627,6,NP6,0.806633472442627
21,18329245,7,NP7,20.35142857142857,0.10777142857142856,-0.31134819984436035,6,NP6,0.806633472442627
22,57041839,1,NP1,20.64857142857143,0.10777142857142856,0.8060087561607361,1,NP1,0.8060087561607361
22,57041839,2,NP2,20.765714285714285,0.10777142857142856,-0.03113536909222603,1,NP1,0.8060087561607361
22,57041839,3,NP3,20.882857142857144,0.10777142857142856,0.04817860946059227,1,NP1,0.8060087561607361
22,57041839,4,NP4,21.0,0.10777142857142856,-0.16556872427463531,1,NP1,0.8060087561607361
22,57041839,5,NP5,21.117142857142856,0.10777142857142856,-0.2550087571144104,1,NP1,0.8060087561607361
22,57041839,6,NP6,21.234285714285715,0.10777142857142856,-0.1917629987001419,1,NP1,0.8060087561607361
22,57041839,7,NP7,21.35142857142857,0.10777142857142856,0.005944225937128067,1,NP1,0.8060087561607361
23,11727684,1,NP1,21.64857142857143,0.10777142857142856,-0.20712128281593323,6,NP6,0.8056676983833313
23,11727684,2,NP2,21.765714285714285,0.10777142857142856,-0.20385847985744476,6,NP6,0.8056676983833313
23,11727684,3,NP3,21.882857142857144,0.10777142857142856,-0.28390538692474365,6,NP6,0.8056676983833313
23,11727684,4,NP4,22.0,0.10777142857142856,-0.17198756337165833,6,NP6,0.8056676983833313
23,11727684,5,NP5,22.117142857142856,0.10777142857142856,0.0891280472278595,6,NP6,0.8056676983833313
23,11727684,6,NP6,22.234285714285715,0.10777142857142856,0.8056676983833313,6,NP6,0.8056676983833313
23,11727684,7,NP7,22.35142857142857,0.10777142857142856,-0.3139742314815521,6,NP6,0.8056676983833313
24,71447200,1,NP1,22.64857142857143,0.10777142857142856,-0.2110828459262848,6,NP6,0.8052476048469543
24,71447200,2,NP2,22.765714285714285,0.10777142857142856,-0.20079362392425537,6,NP6,0.8052476048469543
24,71447200,3,NP3,22.882857142857144,0.10777142857142856,-0.27981388568878174,6,NP6,0.8052476048469543
24,71447200,4,NP4,23.0,0.10777142857142856,-0.17295271158218384,6,NP6,0.8052476048469543
24,71447200,5,NP5,23.117142857142856,0.10777142857142856,0.08805933594703674,6,NP6,0.8052476048469543
24,71447200,6,NP6,23.234285714285715,0.10777142857142856,0.8052476048469543,6,NP6,0.8052476048469543
24,71447200,7,NP7,23.35142857142857,0.10777142857142856,-0.3110802173614502,6,NP6,0.8052476048469543
25,11327649,1,NP1,23.64857142857143,0.10777142857142856,-0.21235547959804535,6,NP6,0.8051684498786926
25,11327649,2,NP2,23.765714285714285,0.10777142857142856,-0.21330025792121887,6,NP6,0.8051684498786926
25,11327649,3,NP3,23.882857142857144,0.10777142857142856,-0.28115931153297424,6,NP6,0.8051684498786926
25,11327649,4,NP4,24.0,0.10777142857142856,-0.18211616575717926,6,NP6,0.8051684498786926
25,11327649,5,NP5,24.117142857142856,0.10777142857142856,0.09153542667627335,6,NP6,0.8051684498786926
25,11327649,6,NP6,24.234285714285715,0.10777142857142856,0.8051684498786926,6,NP6,0.8051684498786926
25,11327649,7,NP7,24.35142857142857,0.10777142857142856,-0.30952101945877075,6,NP6,0.8051684498786926
26,13789232,1,NP1,24.64857142857143,0.10777142857142856,0.8051366806030273,1,NP1,0.8051366806030273
26,13789232,2,NP2,24.765714285714285,0.10777142857142856,0.0619608610868454,1,NP1,0.8051366806030273
26,13789232,3,NP3,24.882857142857144,0.10777142857142856,0.19602929055690765,1,NP1,0.8051366806030273
26,13789232,4,NP4,25.0,0.10777142857142856,-0.24568629264831543,1,NP1,0.8051366806030273
26,13789232,5,NP5,25.117142857142856,0.10777142857142856,-0.4369238018989563,1,NP1,0.8051366806030273
26,13789232,6,NP6,25.234285714285715,0.10777142857142856,-0.2919885218143463,1,NP1,0.8051366806030273
26,13789232,7,NP7,25.35142857142857,0.10777142857142856,0.20956924557685852,1,NP1,0.8051366806030273
27,22338812,1,NP1,25.64857142857143,0.10777142857142856,0.8051332235336304,1,NP1,0.8051332235336304
27,22338812,2,NP2,25.765714285714285,0.10777142857142856,0.008170411922037601,1,NP1,0.8051332235336304
27,22338812,3,NP3,25.882857142857144,0.10777142857142856,0.029911696910858154,1,NP1,0.8051332235336304
27,22338812,4,NP4,26.0,0.10777142857142856,-0.15410342812538147,1,NP1,0.8051332235336304
27,22338812,5,NP5,26.117142857142856,0.10777142857142856,-0.2988556921482086,1,NP1,0.8051332235336304
27,22338812,6,NP6,26.234285714285715,0.10777142857142856,-0.07069982588291168,1,NP1,0.8051332235336304
27,22338812,7,NP7,26.35142857142857,0.10777142857142856,-0.0370187871158123,1,NP1,0.8051332235336304
28,425307,1,NP1,26.64857142857143,0.10777142857142856,0.8049940466880798,1,NP1,0.8049940466880798
28,425307,2,NP2,26.765714285714285,0.10777142857142856,-0.022534621879458427,1,NP1,0.8049940466880798
28,425307,3,NP3,26.882857142857144,0.10777142857142856,0.02697051502764225,1,NP1,0.8049940466880798
28,425307,4,NP4,27.0,0.10777142857142856,-0.1656026691198349,1,NP1,0.8049940466880798
28,425307,5,NP5,27.117142857142856,0.10777142857142856,-0.20729181170463562,1,NP1,0.8049940466880798
28,425307,6,NP6,27.234285714285715,0.10777142857142856,-0.13484413921833038,1,NP1,0.8049940466880798
