prototype,prototype_label,prototype_rank,x_center,bar_width,cid,similarity,similarity_column,assigned_prototype,assigned_prototype_label,max_prototype_similarity
3,NP3,53,52,0.72,219443,-0.36367443203926086,sim_to_NP3,5,NP5,0.7481650114059448
3,NP3,54,53,0.72,122587,-0.36805015802383423,sim_to_NP3,5,NP5,0.749528169631958
3,NP3,55,54,0.72,71346374,-0.3768328130245209,sim_to_NP3,5,NP5,0.7494205236434937
3,NP3,56,55,0.72,21425,-0.3775741755962372,sim_to_NP3,5,NP5,0.7137600779533386
3,NP3,57,56,0.72,71386315,-0.38008540868759155,sim_to_NP3,5,NP5,0.7300816178321838
3,NP3,58,57,0.72,71384846,-0.3807999789714813,sim_to_NP3,5,NP5,0.7469909191131592
3,NP3,59,58,0.72,71334465,-0.38177216053009033,sim_to_NP3,5,NP5,0.7374493479728699
3,NP3,60,59,0.72,71384845,-0.38204631209373474,sim_to_NP3,5,NP5,0.7499092221260071
3,NP3,61,60,0.72,108841,-0.38791507482528687,sim_to_NP3,5,NP5,0.7489742040634155
3,NP3,62,61,0.72,352104,-0.391508549451828,sim_to_NP3,5,NP5,0.7332116961479187
4,NP4,1,0,0.72,66709077,0.04658675938844681,sim_to_NP4,2,NP2,0.8216898441314697
4,NP4,2,1,0.72,22663171,0.0456116758286953,sim_to_NP4,2,NP2,0.8276228308677673
4,NP4,3,2,0.72,15158954,-0.00974662322551012,sim_to_NP4,2,NP2,0.8277093172073364
4,NP4,4,3,0.72,11522786,-0.01429666392505169,sim_to_NP4,2,NP2,0.832434356212616
4,NP4,5,4,0.72,78020,-0.07941721379756927,sim_to_NP4,1,NP1,0.814348578453064
4,NP4,6,5,0.72,517955,-0.09106358140707016,sim_to_NP4,1,NP1,0.8028914332389832
4,NP4,7,6,0.72,25068199,-0.10214939713478088,sim_to_NP4,1,NP1,0.8071501851081848
4,NP4,8,7,0.72,68979,-0.10796984285116196,sim_to_NP4,1,NP1,0.821772038936615
4,NP4,9,8,0.72,138247,-0.11312136054039001,sim_to_NP4,1,NP1,0.8198220133781433
4,NP4,10,9,0.72,3599767,-0.11803223937749863,sim_to_NP4,6,NP6,0.7924919128417969
4,NP4,11,10,0.72,11090867,-0.12251230329275131,sim_to_NP4,1,NP1,0.8114612698554993
4,NP4,12,11,0.72,352104,-0.12667113542556763,sim_to_NP4,5,NP5,0.7332116961479187
4,NP4,13,12,0.72,52915087,-0.13743451237678528,sim_to_NP4,6,NP6,0.8018889427185059
4,NP4,14,13,0.72,75360847,-0.14256972074508667,sim_to_NP4,6,NP6,0.8046560287475586
4,NP4,15,14,0.72,144241,-0.14607219398021698,sim_to_NP4,6,NP6,0.7848109602928162
4,NP4,16,15,0.72,18373965,-0.1534034013748169,sim_to_NP4,6,NP6,0.7956426739692688
4,NP4,17,16,0.72,2736203,-0.15367622673511505,sim_to_NP4,6,NP6,0.804841160774231
4,NP4,18,17,0.72,22338812,-0.15410342812538147,sim_to_NP4,1,NP1,0.8051332235336304
4,NP4,19,18,0.72,54472851,-0.15749718248844147,sim_to_NP4,6,NP6,0.8043332099914551
4,NP4,20,19,0.72,23115783,-0.1600770205259323,sim_to_NP4,3,NP3,0.8070676326751709
4,NP4,21,20,0.72,15605783,-0.16432638466358185,sim_to_NP4,6,NP6,0.8044784069061279
4,NP4,22,21,0.72,57041839,-0.16556872427463531,sim_to_NP4,1,NP1,0.8060087561607361
4,NP4,23,22,0.72,15887311,-0.1655794233083725,sim_to_NP4,6,NP6,0.7973729968070984
4,NP4,24,23,0.72,425307,-0.1656026691198349,sim_to_NP4,1,NP1,0.8049940466880798
4,NP4,25,24,0.72,12626668,-0.1657542735338211,sim_to_NP4,6,NP6,0.8006173372268677
4,NP4,26,25,0.72,71390453,-0.1693943589925766,sim_to_NP4,1,NP1,0.8121702075004578
4,NP4,27,26,0.72,71420187,-0.17197605967521667,sim_to_NP4,6,NP6,0.8070154786109924
4,NP4,28,27,0.72,11727684,-0.17198756337165833,sim_to_NP4,6,NP6,0.8056676983833313
4,NP4,29,28,0.72,71447200,-0.17295271158218384,sim_to_NP4,6,NP6,0.8052476048469543
4,NP4,30,29,0.72,18329245,-0.1734486222267151,sim_to_NP4,6,NP6,0.806633472442627
4,NP4,31,30,0.72,4121732,-0.17433981597423553,sim_to_NP4,6,NP6,0.7967953681945801
4,NP4,32,31,0.72,15520532,-0.175447016954422,sim_to_NP4,6,NP6,0.8046156764030457
4,NP4,33,32,0.72,11050988,-0.17692624032497406,sim_to_NP4,6,NP6,0.8198520541191101
4,NP4,34,33,0.72,11115716,-0.17706726491451263,sim_to_NP4,6,NP6,0.8066542744636536
4,NP4,35,34,0.72,12418354,-0.17710021138191223,sim_to_NP4,1,NP1,0.797303318977356
4,NP4,36,35,0.72,4438527,-0.17787835001945496,sim_to_NP4,6,NP6,0.8084468841552734
4,NP4,37,36,0.72,10959856,-0.17849695682525635,sim_to_NP4,6,NP6,0.8088399171829224
4,NP4,38,37,0.72,12159360,-0.1790296882390976,sim_to_NP4,6,NP6,0.8109763860702515
4,NP4,39,38,0.72,582056,-0.18029744923114777,sim_to_NP4,6,NP6,0.8100593686103821
4,NP4,40,39,0.72,71428744,-0.18096210062503815,sim_to_NP4,6,NP6,0.8082640171051025
4,NP4,41,40,0.72,11327649,-0.18211616575717926,sim_to_NP4,6,NP6,0.8051684498786926
4,NP4,42,41,0.72,10876447,-0.18368998169898987,sim_to_NP4,6,NP6,0.8165456056594849
4,NP4,43,42,0.72,71350376,-0.18767742812633514,sim_to_NP4,6,NP6,0.8039409518241882
4,NP4,44,43,0.72,4072412,-0.18781986832618713,sim_to_NP4,6,NP6,0.7814565300941467
4,NP4,45,44,0.72,71386315,-0.19105634093284607,sim_to_NP4,5,NP5,0.7300816178321838
4,NP4,46,45,0.72,58489416,-0.19844157993793488,sim_to_NP4,3,NP3,0.7882561683654785
