method,nearest_proto_similarity,assigned_prototype
PCL encoder only,0.682532548904419,6
PCL encoder only,0.6770927906036377,6
PCL encoder only,0.7715691328048706,2
PCL encoder only,0.6979991793632507,6
PCL encoder only,0.7734049558639526,2
PCL encoder only,0.7067428827285767,6
PCL encoder only,0.6749971508979797,6
PCL encoder only,0.7605535984039307,2
PCL encoder only,0.7811692953109741,2
PCL encoder only,0.7109337449073792,2
PCL encoder only,0.7399208545684814,6
PCL encoder only,0.6969585418701172,6
PCL encoder only,0.6961848139762878,6
PCL encoder only,0.7163358330726624,6
PCL encoder only,0.6861952543258667,6
PCL encoder only,0.6964369416236877,6
PCL encoder only,0.7013598680496216,6
PCL encoder only,0.8291916847229004,2
PCL encoder only,0.6765317916870117,6
PCL encoder only,0.6946840286254883,6
PCL encoder only,0.7846070528030396,2
PCL encoder only,0.7693817615509033,2
PCL encoder only,0.7853317856788635,2
PCL encoder only,0.7285525798797607,2
PCL encoder only,0.6766975522041321,6
PCL encoder only,0.6559423804283142,6
PCL encoder only,0.7386932969093323,6
PCL encoder only,0.7470274567604065,2
PCL encoder only,0.6838277578353882,6
PCL encoder only,0.7009536027908325,6
PCL encoder only,0.7406725287437439,6
PCL encoder only,0.73636394739151,2
PCL encoder only,0.6758913993835449,6
PCL encoder only,0.746972382068634,2
PCL encoder only,0.6728314757347107,6
PCL encoder only,0.6894757151603699,6
PCL encoder only,0.7291155457496643,2
PCL encoder only,0.7416037321090698,2
PCL encoder only,0.761685311794281,2
PCL encoder only,0.6867691278457642,6
PCL encoder only,0.6913048028945923,6
PCL encoder only,0.7359764575958252,6
PCL encoder only,0.7034136056900024,6
PCL encoder only,0.7647647857666016,2
PCL encoder only,0.6497933864593506,6
PCL encoder only,0.7294816374778748,2
PCL encoder only,0.7715011835098267,2
PCL encoder only,0.7340636253356934,6
PCL encoder only,0.765030026435852,2
PCL encoder only,0.6868845224380493,6
PCL encoder only,0.6810510754585266,6
PCL encoder only,0.7263705730438232,2
PCL encoder only,0.7724230289459229,2
PCL encoder only,0.788803219795227,2
PCL encoder only,0.7361807227134705,2
PCL encoder only,0.7658430337905884,2
PCL encoder only,0.754398763179779,2
PCL encoder only,0.6681941151618958,6
PCL encoder only,0.7328604459762573,2
PCL encoder only,0.7157820463180542,6
PCL encoder only,0.741158127784729,6
PCL encoder only,0.6954630017280579,2
PCL encoder only,0.7703579664230347,2
PCL encoder only,0.7299609780311584,2
PCL encoder only,0.7042784094810486,2
PCL encoder only,0.7290571928024292,2
PCL encoder only,0.6885770559310913,6
PCL encoder only,0.7798354625701904,2
PCL encoder only,0.7670655250549316,6
PCL encoder only,0.7788172960281372,1
PCL encoder only,0.6899040937423706,2
PCL encoder only,0.7563207149505615,2
PCL encoder only,0.739419162273407,2
PCL encoder only,0.7461175918579102,2
PCL encoder only,0.740086555480957,2
PCL encoder only,0.7408775091171265,2
PCL encoder only,0.7236310839653015,2
PCL encoder only,0.6825527548789978,6
PCL encoder only,0.6482582092285156,6
PCL encoder only,0.6923543214797974,6
PCL encoder only,0.7634834051132202,2
PCL encoder only,0.6814411282539368,6
