epoch,prototype,mean_umap_1,mean_umap_2,std_umap_1,std_umap_2
40,6,3.9431236,3.558456,3.4434133,7.4075704
40,7,5.812003,4.038193,6.8934793,7.7908087
41,1,1.8729811,3.1555314,9.722441,9.057014
41,2,3.1649485,5.619652,9.658979,7.336102
41,3,2.0702286,4.624895,8.948782,9.418893
41,4,6.0517106,5.880296,7.369864,6.8435555
41,5,6.8889694,5.4773626,10.017722,8.731103
41,6,3.9478486,3.5774245,3.4382706,7.4201446
41,7,5.8157797,4.011198,6.886031,7.8088713
42,1,1.8818781,3.1473503,9.745528,9.0479
42,2,3.1582167,5.6270027,9.663228,7.336797
42,3,2.0571382,4.6234474,8.939194,9.410443
42,4,6.057306,5.869151,7.362533,6.8386374
42,5,6.886519,5.4920106,10.020766,8.7179165
42,6,3.9637876,3.5626743,3.4628584,7.4391775
42,7,5.8160033,4.005243,6.872919,7.8185387
43,1,1.8735893,3.1553078,9.776476,9.041114
43,2,3.1697578,5.622741,9.66502,7.3382177
43,3,2.0410838,4.6181645,8.924401,9.416807
43,4,6.0483923,5.864787,7.359755,6.821369
43,5,6.878991,5.495627,10.017142,8.707509
43,6,3.9608912,3.5696092,3.4643683,7.4384475
43,7,5.826224,3.98359,6.8773713,7.842817
44,1,1.888808,3.152074,9.797957,9.024215
44,2,3.162096,5.6208715,9.662905,7.3463106
44,3,2.0435033,4.6212587,8.917426,9.403576
44,4,6.0483866,5.8650975,7.357894,6.8273506
44,5,6.8660135,5.5053573,10.018311,8.702057
44,6,3.963499,3.5728283,3.462721,7.4527
44,7,5.83062,3.959518,6.8631535,7.857373
45,1,1.8936363,3.1487257,9.823839,9.015401
45,2,3.181046,5.6225324,9.679647,7.349989
45,3,2.034684,4.62939,8.903043,9.403676
45,4,6.0664506,5.8680487,7.349506,6.8308563
45,5,6.855175,5.5282736,10.023469,8.70136
45,6,3.9657447,3.5714889,3.469354,7.463558
45,7,5.824714,3.932464,6.8647466,7.870186
46,1,1.8956449,3.1558979,9.847259,8.999909
46,2,3.1691136,5.6310015,9.67362,7.3584046
46,3,2.0258708,4.6320033,8.894739,9.403188
46,4,6.0640163,5.8643074,7.341558,6.838034
46,5,6.8527374,5.527174,10.026208,8.687384
46,6,3.9744077,3.5812767,3.4660852,7.484415
46,7,5.8363314,3.9259143,6.848223,7.872999
47,1,1.9072472,3.1622748,9.869482,8.978802
47,2,3.1741436,5.637421,9.694705,7.3560143
47,3,2.0269525,4.6383686,8.886147,9.394781
47,4,6.0564775,5.8459744,7.3228197,6.85357
47,5,6.8566437,5.5324335,10.026429,8.674887
47,6,3.9698143,3.5823655,3.477303,7.4832263
47,7,5.8336043,3.9079971,6.846836,7.8942084
48,1,1.9137106,3.1496365,9.897959,8.979156
48,2,3.1700997,5.6364374,9.702866,7.367239
48,3,2.0201468,4.6349163,8.867905,9.392606
48,4,6.0527453,5.8342414,7.3223524,6.852842
48,5,6.837676,5.5486903,10.033701,8.660809
48,6,3.9779077,3.579042,3.4671383,7.499906
48,7,5.8465586,3.88406,6.841674,7.904061
49,1,1.9156692,3.1511986,9.922453,8.967999
49,2,3.1859345,5.629304,9.714134,7.366002
49,3,2.0165274,4.6400876,8.861686,9.3871
49,4,6.0576673,5.826093,7.3114476,6.8571987
49,5,6.8411455,5.5649652,10.043179,8.646667
49,6,3.978309,3.5752196,3.4757485,7.5108624
49,7,5.8585253,3.8760269,6.826839,7.9169593
50,1,1.9265168,3.1497192,9.942465,8.946519
50,2,3.19437,5.62151,9.735103,7.370372
50,3,2.0184166,4.645192,8.843198,9.381574
50,4,6.0554504,5.8153033,7.3007064,6.86401
50,5,6.8291674,5.572011,10.037236,8.636583
50,6,3.9815497,3.5773506,3.4800508,7.5191092
50,7,5.845504,3.847585,6.8234377,7.9328785
51,1,1.9315445,3.143804,9.965464,8.945222
51,2,3.1996834,5.6162477,9.737655,7.3738427
51,3,2.0075316,4.638649,8.833556,9.376703
51,4,6.0495734,5.8032203,7.3031635,6.87348
51,5,6.827343,5.5816264,10.03957,8.634733
51,6,3.991935,3.5773857,3.4811323,7.5281096
51,7,5.8608847,3.8467388,6.814705,7.944545
52,1,1.9327204,3.147435,9.983421,8.925025
52,2,3.1903343,5.624366,9.730121,7.3834167
52,3,2.0070024,4.644559,8.816402,9.376131
52,4,6.0702868,5.8072805,7.2868676,6.87609
52,5,6.8267927,5.592546,10.050001,8.623714
52,6,3.9901493,3.5804715,3.488317,7.540616
52,7,5.861718,3.826653,6.807492,7.963066
53,1,1.9362729,3.1318111,10.002328,8.923217
53,2,3.2051747,5.6220603,9.748713,7.385487
53,3,1.9945844,4.637307,8.807703,9.370775
53,4,6.084338,5.7944994,7.284999,6.8827653
53,5,6.8318634,5.5855665,10.050334,8.60851
53,6,3.9908423,3.5809112,3.489625,7.553124
53,7,5.8723063,3.8273327,6.77532,7.9670067
54,1,1.9434035,3.1344972,10.018515,8.920076
54,2,3.2154331,5.614296,9.753992,7.388655
54,3,2.0007734,4.638509,8.789779,9.363879
54,4,6.082263,5.794498,7.283611,6.8912754
54,5,6.825381,5.599877,10.048285,8.606385
54,6,3.99692,3.5706477,3.4888093,7.554557
54,7,5.8734884,3.7969482,6.7881007,7.9825563
55,1,1.9422814,3.1305585,10.057025,8.910095
55,2,3.214999,5.6132836,9.757306,7.3975177
55,3,1.9883573,4.639332,8.783279,9.364484
55,4,6.0888414,5.7950525,7.275947,6.8859487
55,5,6.8123107,5.589291,10.057956,8.591065
55,6,4.003154,3.5660872,3.4950497,7.5568566
55,7,5.873955,3.789189,6.7733994,7.9919667
56,1,1.951391,3.1318958,10.072491,8.888754
56,2,3.2323613,5.6030207,9.769908,7.3916893
56,3,1.9867859,4.6373396,8.773107,9.3508215
56,4,6.102976,5.7897177,7.267689,6.898951
56,5,6.8309107,5.615181,10.051815,8.596813
56,6,3.9994845,3.56844,3.4881096,7.5679955
56,7,5.879298,3.7763462,6.762531,8.008562
57,1,1.9606947,3.1135697,10.085523,8.882947
57,2,3.231065,5.5934763,9.775752,7.4030004
57,3,1.9840238,4.6248374,8.75366,9.336918
57,4,6.1087136,5.7828083,7.2487693,6.891479
57,5,6.822984,5.625366,10.055135,8.591086
57,6,3.9981277,3.573339,3.4857554,7.5843725
57,7,5.8896456,3.7617028,6.7535043,8.02821
58,1,1.9684365,3.1151192,10.114341,8.86974
58,2,3.2545438,5.594346,9.785623,7.3889327
58,3,1.9708307,4.628898,8.747529,9.340943
58,4,6.104333,5.7764826,7.259417,6.8999467
58,5,6.8241806,5.6388693,10.059513,8.590255
58,6,4.001766,3.571767,3.4913025,7.5977917
58,7,5.889227,3.7412682,6.7476964,8.042413
59,1,1.9777019,3.1116989,10.13148,8.855459
59,2,3.2559323,5.586728,9.789921,7.402656
59,3,1.9616086,4.6199436,8.735744,9.321725
59,4,6.1080184,5.7832813,7.2578545,6.900485
59,5,6.822028,5.650031,10.069955,8.578657
59,6,4.001502,3.5612235,3.487058,7.6118417
59,7,5.8839774,3.7254596,6.743568,8.054627
60,1,1.980925,3.0980606,10.150903,8.842305
60,2,3.2672088,5.5926466,9.789204,7.40696
60,3,1.9698541,4.628044,8.721323,9.324018
60,4,6.1067533,5.7702756,7.242795,6.909776
60,5,6.8233337,5.6491385,10.072707,8.57255
60,6,3.9997056,3.5764225,3.4838705,7.6166773
60,7,5.897811,3.7199993,6.722064,8.065517
61,1,1.981501,3.105877,10.173457,8.830236
61,2,3.2718368,5.5854287,9.794749,7.406914
61,3,1.9731653,4.6193166,8.7022,9.305574
61,4,6.121627,5.7766495,7.2389154,6.9191513
61,5,6.82827,5.6437254,10.067084,8.579008
61,6,4.0015078,3.574139,3.480327,7.610513
61,7,5.889894,3.688383,6.7163143,8.068969
62,1,1.9999212,3.095252,10.182189,8.829982
62,2,3.2774265,5.56981,9.799187,7.4217143
62,3,1.9696915,4.6162534,8.698117,9.310502
62,4,6.122981,5.773116,7.227098,6.917578
62,5,6.8266244,5.657996,10.070074,8.551634
62,6,4.0143585,3.5749564,3.4890397,7.6294804
62,7,5.8896456,3.6863182,6.6934185,8.082888
63,1,2.0019157,3.086557,10.210014,8.820413
63,2,3.2887783,5.5709896,9.800868,7.416126
63,3,1.9600395,4.625374,8.684145,9.303547
63,4,6.1300616,5.7707605,7.2264805,6.9206014
63,5,6.82303,5.6676803,10.0833845,8.556588
63,6,4.006425,3.5688088,3.4797018,7.642312
63,7,5.8993483,3.6709619,6.6864953,8.084099
64,1,2.006481,3.090985,10.211144,8.812413
64,2,3.2879643,5.56137,9.81286,7.418561
64,3,1.9502573,4.6257563,8.675938,9.300294
64,4,6.1237555,5.7782736,7.212675,6.9199934
64,5,6.8345323,5.670895,10.068091,8.547994
64,6,4.010139,3.5688598,3.4824388,7.6450047
64,7,5.901273,3.6557884,6.6736913,8.106644
65,1,2.0168502,3.081502,10.234675,8.807376
65,2,3.3140628,5.5603304,9.822885,7.4182787
65,3,1.9550676,4.612376,8.667561,9.285901
65,4,6.1301775,5.76039,7.1966057,6.922355
65,5,6.8372927,5.690876,10.078765,8.530571
65,6,4.0074115,3.5767226,3.482068,7.6674743
65,7,5.889916,3.6477478,6.6509767,8.104172
66,1,2.0140376,3.0793586,10.24253,8.800154
66,2,3.322847,5.5764894,9.833642,7.4071937
66,3,1.9542334,4.6077824,8.651754,9.277888
66,4,6.1379423,5.7715554,7.2031436,6.9267654
66,5,6.835784,5.7010484,10.083636,8.5248995
66,6,4.0080395,3.584755,3.4895408,7.6647058
66,7,5.89934,3.634233,6.654577,8.114496
67,1,2.0143924,3.0806625,10.266753,8.794826
67,2,3.3324184,5.547812,9.842598,7.4211497
67,3,1.9545256,4.5989523,8.639642,9.260909
67,4,6.147464,5.781356,7.1927247,6.9217024
67,5,6.8340416,5.7238173,10.082091,8.509168
67,6,4.0013833,3.574885,3.494018,7.679202
67,7,5.901058,3.6087995,6.642737,8.137537
68,1,2.0256522,3.0766215,10.276371,8.7810335
68,2,3.33712,5.5475526,9.8446,7.4229894
